 Address -> Data (Time)
 00b2 -> 40 (               17970)
 00b3 -> 08 (               18050)
 00b4 -> 00 (               18130)
 00b5 -> 01 (               18210)
 00b6 -> 21 (               18290)
 00b7 -> 20 (               18370)
 00b8 -> 04 (               18450)
 00b9 -> 84 (               18530)
 00ba -> 00 (               18610)
 00bb -> 10 (               18690)
 00bc -> 10 (               18770)
 00bd -> 02 (               18850)
 00be -> 04 (               18930)
 00bf -> fe (               19010)
