           0 ps U U U U U U U U UUU UUUUUUUUUU UUUUUU
    49500000 ps 0 0 1 1 1 1 1 0 000 0001011010 000111
    50000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    50500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    51000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    51500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    52000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    52500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    53000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    53500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    54000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    54500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    55000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    55500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    56000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    56500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    57000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    57500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    58000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    58500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    59000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    59500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    60000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    60500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    61000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    61500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    62000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    62500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    63000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    63500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    64000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    64500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    65000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    65500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    66000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    66500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    67000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    67500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    68000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    68500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    69000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    69500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    70000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    70500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    71000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    71500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    72000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    72500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    73000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    73500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    74000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    74500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    75000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    75500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    76000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    76500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    77000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    77500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    78000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
    78500000 ps 0 1 1 1 1 1 1 0 000 0001011010 000111
    79000000 ps 0 1 1 1 1 1 0 0 000 0001011010 000111
